iter	RMSE
0	8.857606153
1	8.790151644
2	8.727465343
3	8.669575407
4	8.609961333
5	8.55175093
6	8.489337498
7	8.437259317
8	8.38246133
9	8.331904146
10	8.287133859
11	8.243467613
12	8.19869055
13	8.158082715
14	8.119447679
15	8.075728827
16	8.035466656
17	7.998921495
18	7.963131863
19	7.934122876
20	7.904436329
21	7.872496899
22	7.846239504
23	7.820732105
24	7.792497071
25	7.769683197
26	7.743146538
27	7.713866007
28	7.686123821
29	7.662190321
30	7.637657128
31	7.621382645
32	7.600055179
33	7.576069006
34	7.553797345
35	7.536440125
36	7.517696932
37	7.497622518
38	7.478679526
39	7.460455674
40	7.443425897
41	7.426865442
42	7.41309716
43	7.396973777
44	7.381887557
45	7.366957128
46	7.351513489
47	7.338730538
48	7.32850111
49	7.317311617
50	7.306405788
51	7.29275833
52	7.282069855
53	7.269061479
54	7.257593228
55	7.248212604
56	7.234772774
57	7.226768264
58	7.217675808
59	7.207656441
60	7.197273727
61	7.1857493
62	7.175090553
63	7.163816628
64	7.153635881
65	7.143788754
66	7.135012347
67	7.124648917
68	7.116605452
69	7.106541559
70	7.099917711
71	7.088984027
72	7.081525201
73	7.072757192
74	7.065347851
75	7.058006198
76	7.048892807
77	7.040643878
78	7.034534593
79	7.02707398
80	7.021897264
81	7.016166138
82	7.01132016
83	7.004187503
84	6.998406161
85	6.991601166
86	6.985760766
87	6.978908209
88	6.97045999
89	6.965467645
90	6.961085998
91	6.953047323
92	6.946106021
93	6.939995755
94	6.934849689
95	6.929783249
96	6.923157735
97	6.916455851
98	6.908081096
99	6.901376113
100	6.895943545
101	6.892891559
102	6.887088963
103	6.882961886
104	6.875297497
105	6.870809495
106	6.865656822
107	6.860462787
108	6.854978657
109	6.850603837
110	6.845878581
111	6.840618234
112	6.833618253
113	6.828202009
114	6.821701507
115	6.81524628
116	6.811266003
117	6.807519077
118	6.802106127
119	6.796366892
120	6.790191897
121	6.786076915
122	6.782841629
123	6.77630543
124	6.771529415
125	6.766937857
126	6.760076286
127	6.757547481
128	6.751195933
129	6.747069832
130	6.742153336
131	6.737923702
132	6.735309306
133	6.731802974
134	6.726936753
135	6.724050405
136	6.72036893
137	6.715771449
138	6.711606916
139	6.709413493
140	6.703945867
141	6.69988739
142	6.695006951
143	6.69169306
144	6.689041504
145	6.6834787
146	6.679758974
147	6.678007906
148	6.67425059
149	6.669197229
150	6.666120548
151	6.660613432
152	6.656179973
153	6.653452054
154	6.651215144
155	6.644161692
156	6.641446648
157	6.638449515
158	6.635615884
159	6.633021582
160	6.630392828
161	6.627661122
162	6.624588556
163	6.621360741
164	6.617641283
165	6.616227087
166	6.612931787
167	6.608709363
168	6.607313372
169	6.60150121
170	6.599249468
171	6.596130647
172	6.593434827
173	6.587107511
174	6.584726372
175	6.582596061
176	6.5766275
177	6.574204347
178	6.571366141
179	6.568641481
180	6.564045373
181	6.561019521
182	6.557205342
